callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.46679,-117.70534
HBAL186,38.99797,-119.20911
HBAL117,39.07660,-120.83319
CONTROL,42.68451,23.40988
HBAL015,39.15527,-111.22638
HBAL074,-2.81259,-41.98487
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98269,28.82759
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.44980,-73.76214
AFR990,-26.15248,28.25191
ORION1,47.45345,8.56175
AMBI,22.65445,88.44402
HBAL264,-8.53697,-78.98411
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88414,5.62937
ELEC10,25.27142,55.34613
FUEL911,58.88353,5.61777
AP12,-37.00524,174.80374
F02,41.30357,2.08530
DMGR,31.99483,34.89630
FOLOWME3,13.20338,77.70557
DTD2TEG,8.98060,38.78771
HERON1,46.23812,6.11364
BRD2,32.01362,34.88376
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11165
DAL476,41.28876,2.08299
V7,52.30754,4.79786
SASTAU1,58.88086,5.62820
TJ08,47.45337,8.55706
MEISTRAS,54.63031,25.28021
FDX96,35.05528,-89.95654
AIR21,25.23568,55.39808
PAPA8,40.48758,-3.58750
DAL55,31.43985,-77.17314
SER354,45.45930,-73.75775
BAW27,22.40042,114.23182
HAUKKA1,60.31598,24.90601
AAL125,21.38614,113.45098
EVA005,30.14779,128.25615
N,45.73494,4.91390
THY24,23.81868,107.17621
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.49798,54.59184
MAGELAN4,46.22887,6.10260
